#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"
21802700	10901.350001991521	-114761202.41214335	-114754885.66476408	295.32753489390296	17.19352152744549	0.9952274976297318	1.34
21802800	10901.400001991531	-114760973.85874616	-114754795.72896762	288.84673206009944	17.187246124522012	0.9955908748399552	1.34
21802900	10901.450001991541	-114761111.01081544	-114754734.91750108	298.1021414538972	17.187246124522012	0.9955908748399552	1.34
21803000	10901.500001991551	-114760964.16375542	-114754698.12929337	292.95654869971503	17.235308367246578	0.992814578108772	1.34
21803100	10901.550001991562	-114761011.56705205	-114754689.6388974	295.56975221394856	17.235308367246578	0.992814578108772	1.34
21803200	10901.600001991572	-114760980.58915295	-114754606.54124042	298.0065125731567	17.27388671213383	0.9905972923385425	1.34
21803300	10901.650001991582	-114760816.47539455	-114754511.7250212	294.7666376517138	17.346848339844083	0.9864307953796465	1.34
21803400	10901.700001991592	-114760918.72349411	-114754572.73707591	296.69455066554667	17.346848339844083	0.9864307953796465	1.34
21803500	10901.750001991602	-114761070.0825307	-114754647.86549449	300.258568529042	17.346848339844083	0.9864307953796465	1.34
21803600	10901.800001991613	-114761289.08115399	-114754746.92773902	305.86596628531987	17.258294309137874	0.991492270249579	1.34
21803700	10901.850001991623	-114760888.85731399	-114754721.94053611	288.3224894957771	17.22553022129977	0.9933781535527872	1.34
21803800	10901.900001991633	-114761135.59883429	-114754733.55453835	299.3154303438359	17.22553022129977	0.9933781535527872	1.34
21803900	10901.950001991643	-114761049.49569863	-114754736.95109023	295.13104231884984	17.20709124638904	0.9944426492649298	1.34
21804000	10902.000001991653	-114760937.37733734	-114754649.47346196	293.97901161326394	17.174658040804996	0.9963205884243892	1.34
21804100	10902.050001991664	-114760978.5760402	-114754634.09538803	296.6241514319323	17.188561020852504	0.995514713793873	1.34
21804200	10902.100001991674	-114760859.20646681	-114754482.80002367	298.11678119538897	17.290883918346104	0.9896235198853406	1.34
21804300	10902.150001991684	-114760954.50882663	-114754568.4472369	298.5681892495574	17.293569227952446	0.9894698531951632	1.34
21804400	10902.200001991694	-114761034.4724692	-114754528.3745976	304.1802577863467	17.28224815046036	0.9901180249368592	1.34
21804500	10902.250001991704	-114760978.81641187	-114754409.42729591	307.13931979323274	17.225477634180905	0.9933811862057068	1.34
21804600	10902.300001991714	-114760806.04927331	-114754360.45963971	301.3513099599091	17.186423690099176	0.9956385175736209	1.34
21804700	10902.350001991725	-114760872.67729588	-114754400.83624797	302.57864501225185	17.186423690099176	0.9956385175736209	1.34
21804800	10902.400001991735	-114761074.52439888	-114754421.3724344	311.0554927994848	17.095088006685394	1.0009580177949773	1.34
21804900	10902.450001991745	-114760927.5070756	-114754491.68623334	300.89458866098596	16.994398311342565	1.0068885694989156	1.34
21805000	10902.500001991755	-114760909.95493586	-114754433.56557626	302.7912926934844	17.189825467047285	0.9954414858955375	1.34
21805100	10902.550001991765	-114760757.81469133	-114754433.74848504	295.6697127606039	17.308595361208674	0.9886108634529656	1.34
21805200	10902.600001991776	-114760835.84534504	-114754550.40143792	293.86400046533174	17.308595361208674	0.9886108634529656	1.34
