#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"
21003700	10501.850001910132	-578221.359480591	-571792.0942806785	300.5880920457609	15.33555170922499	1.1158037043368465	0.194
21003800	10501.900001910142	-578102.5846216286	-571704.2386205044	299.1425235892798	15.33555170922499	1.1158037043368465	0.194
21003900	10501.950001910152	-578100.5999130303	-571793.4714888694	294.87781890407973	15.33555170922499	1.1158037043368465	0.194
21004000	10502.000001910163	-578105.67334041	-571842.3193311963	292.8312292145541	15.30550237576598	1.1179943647126536	0.194
21004100	10502.050001910173	-578337.5309933228	-571804.6078081584	305.43442440931426	15.30550237576598	1.1179943647126536	0.194
21004200	10502.100001910183	-578311.1745624436	-571749.216534286	306.7918933869907	15.349148920922463	1.1148152574034786	0.194
21004300	10502.150001910193	-578185.2420261779	-571801.2214433147	298.47276584731003	15.311674441091997	1.1175437063421618	0.194
21004400	10502.200001910203	-578298.3626990506	-571770.586766649	305.19377437557074	15.339962653015556	1.115482859525652	0.194
21004500	10502.250001910214	-578083.544302947	-571734.1324452996	296.85470058521014	15.370688057438418	1.1132530529055698	0.194
21004600	10502.300001910224	-578052.9698009054	-571770.1570430899	293.74098607384434	15.377554421051569	1.1127559647441236	0.194
21004700	10502.350001910234	-577980.0582932252	-571766.0465389589	290.5243257332531	15.382047546911625	1.1124309265731078	0.194
21004800	10502.400001910244	-578289.1765254575	-571782.7373479769	304.1962148951796	15.252396198455504	1.1218870256553688	0.194
21004900	10502.450001910254	-578354.8224916068	-571774.7669017348	307.6380105368194	15.228610290430796	1.123639326167197	0.194
21005000	10502.500001910264	-577846.5746347422	-571707.8255438892	287.0055627495763	15.212603629052406	1.1248216164998692	0.194
21005100	10502.550001910275	-578201.6976620605	-571673.0140376291	305.23621179367944	15.212603629052406	1.1248216164998692	0.194
21005200	10502.600001910285	-578224.4658155607	-571678.7326208492	306.03333209302326	15.234318796393879	1.1232182832653443	0.194
21005300	10502.650001910295	-578245.4828324434	-571640.1825981776	308.81827597256813	15.234318796393879	1.1232182832653443	0.194
