#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"
2003100	1001.5499999797725	-578659.2747693716	-572215.9091392861	301.24733089668837	14.522107254871823	1.1783045741837506	0.0372
2003200	1001.5999999797713	-578696.0375374231	-572232.5548970706	302.18786353079184	14.522107254871823	1.1783045741837506	0.0372
2003300	1001.6499999797701	-578489.6748031636	-572202.001284414	293.96824172587276	14.597136559121108	1.1722480868694962	0.0372
2003400	1001.6999999797689	-578450.714141205	-572198.2191237981	292.32353766236326	14.676154994929295	1.1659365420380623	0.0372
2003500	1001.7499999797677	-578397.1483549781	-572149.7957206096	292.0831153033549	14.676154994929295	1.1659365420380623	0.0372
2003600	1001.7999999797665	-578389.2952316533	-572091.753134146	294.4296283956904	14.63748604906935	1.1690166841382197	0.0372
2003700	1001.8499999797654	-578490.234644515	-572157.7279286343	296.06433276690143	14.63748604906935	1.1690166841382197	0.0372
2003800	1001.8999999797642	-578615.0990667595	-572207.3057723603	299.58421385592584	14.584423400005356	1.1732699288746797	0.0372
2003900	1001.949999979763	-578476.0875595973	-572255.7461520365	290.8202566597205	14.49626236364399	1.1804053331786633	0.0372
2004000	1001.9999999797618	-578611.37381113	-572227.167824408	298.4814340528319	14.410497301554006	1.187430596399836	0.0372
2004100	1002.0499999797606	-578524.0697496595	-572197.8069858301	295.77240863940835	14.410497301554006	1.187430596399836	0.0372
2004200	1002.0999999797594	-578508.85341529	-572150.5518778943	297.27032068974154	14.368986584487052	1.1908609771879295	0.0372
2004300	1002.1499999797583	-578466.2403431397	-572067.6254900073	299.15509325465416	14.401060435498124	1.1882087073965273	0.0372
2004400	1002.1999999797571	-578475.9554640949	-571977.1846461445	303.8376952994493	14.586601252536866	1.1730947538054155	0.0372
2004500	1002.2499999797559	-578414.4031381992	-571995.2930162043	300.1133106514798	14.656644290606291	1.1674886192175344	0.0372
2004600	1002.2999999797547	-578478.9831125947	-571962.636757383	304.6594061867422	14.652336688142498	1.1678318461689505	0.0372
2004700	1002.3499999797535	-578447.4358410622	-571977.3589851473	302.49616356397263	14.554297964770418	1.1756984395002676	0.0372
2004800	1002.3999999797524	-578454.4694233495	-571855.5375590719	308.5205349205664	14.651379336553687	1.1679081547299204	0.0372
2004900	1002.4499999797512	-578356.0650932782	-571934.5585389398	300.22535129740925	14.651379336553687	1.1679081547299204	0.0372
2005000	1002.49999997975	-578481.6549751254	-572005.649868022	302.7733276968146	14.623364202939065	1.1701456086119613	0.0372
2005100	1002.5499999797488	-578457.6296582379	-571960.9481984176	303.74001132556117	14.687119440991932	1.1650661298119622	0.0372
