#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"
20657400	10328.700001874857	-23493.014585187964	-19236.78015095888	298.5752925159969	17.03695106495039	1.0043779269495965	342
20657500	10328.750001874867	-23491.681089633217	-19316.49627484556	292.8896532010148	16.97488123792273	1.0080505042903372	342
20657600	10328.800001874877	-23563.45545364023	-19338.953254692737	296.34927287873404	16.984458844096295	1.0074820604663817	342
20657700	10328.850001874887	-23513.748143935896	-19318.828245043496	294.27407142337887	17.072610629194216	1.002280082631054	342
20657800	10328.900001874897	-23636.338352120307	-19376.693498090535	298.81453382314925	16.967374017075176	1.0084965166051232	342
20657900	10328.950001874908	-23724.581028811794	-19361.15982601617	306.09445558681495	16.932446214758	1.0105768165525015	342
20658000	10329.000001874918	-23538.292545477307	-19365.108311414973	292.7493122530486	16.958275420529873	1.0090376036375244	342
20658100	10329.050001874928	-23761.23026736296	-19390.167778232317	306.63049262564164	16.79596612795748	1.0187885270662598	342
20658200	10329.100001874938	-23539.959853944674	-19397.424218403135	290.5993098483503	16.79596612795748	1.0187885270662598	342
20658300	10329.150001874948	-23610.967913404413	-19402.58662854631	295.21838906247746	16.75523966178753	1.0212648662484753	341
20658400	10329.200001874959	-23576.807711065514	-19410.694778358098	292.25325972043095	16.711484261478713	1.0239388270017424	341
20658500	10329.250001874969	-23523.665546800403	-19424.999998538053	287.52181861883855	16.71292173082491	1.0238507585778065	341
20658600	10329.300001874979	-23641.593010673387	-19446.797655584585	294.265334662478	16.819821588524984	1.0173435848945405	341
20658700	10329.35000187499	-23852.148417716046	-19519.167759577344	303.9590481825156	16.77123719878509	1.0202907149507225	341
20658800	10329.400001875	-23732.98613620561	-19510.605894602268	296.2004173482115	16.53596106421409	1.034807564296225	341
20658900	10329.45000187501	-23617.583369384345	-19456.39374923426	291.90788882752827	16.649328467163585	1.027761427489679	341
20659000	10329.50000187502	-23637.02639821224	-19466.664818058976	292.5513027849156	16.578857568172698	1.0321300802418683	341
20659100	10329.55000187503	-23639.584891456325	-19489.183660992694	291.1510821581154	16.73886227483176	1.0222640769250597	341
20659200	10329.60000187504	-23719.20702403286	-19481.196884925186	297.2968562994639	16.524600930175513	1.0355189613631925	341
20659300	10329.65000187505	-23596.701246486147	-19540.215355141914	284.56291125667116	16.525162847080455	1.0354837498729843	341
20659400	10329.70000187506	-23553.928529428886	-19523.22250593008	282.75445082012413	16.6348913090066	1.028653405321135	341
20659500	10329.75000187507	-23444.357041596348	-19419.68630034384	282.33107513677044	16.638982625286502	1.0284004724033993	341
20659600	10329.80000187508	-23547.83463308336	-19375.133069764073	292.71545284973763	16.638982625286502	1.0284004724033993	341
20659700	10329.850001875091	-23447.97133461738	-19336.38621480705	288.4281279196367	16.677130076350807	1.0260480978331998	341
20659800	10329.900001875101	-23597.746483307914	-19287.182346763344	302.3865268386879	16.73496414706166	1.0225021961078449	341
